,game_num,pick_door,car_door,win
0,0,1,2,1
1,1,2,3,1
2,2,3,3,0
3,3,2,2,0
4,4,2,1,1
5,5,3,1,1
6,6,1,3,1
7,7,3,2,1
8,8,2,3,1
9,9,1,1,0
10,10,3,1,1
11,11,3,1,1
12,12,2,2,0
13,13,3,2,1
14,14,2,3,1
15,15,1,3,1
16,16,1,1,0
17,17,1,2,1
18,18,3,2,1
19,19,3,2,1
20,20,2,1,1
21,21,2,3,1
22,22,1,3,1
23,23,3,1,1
24,24,1,2,1
25,25,1,1,0
26,26,2,3,1
27,27,1,3,1
28,28,1,1,0
29,29,3,2,1
30,30,3,3,0
31,31,2,3,1
32,32,3,1,1
33,33,3,2,1
34,34,3,3,0
35,35,1,3,1
36,36,2,3,1
37,37,2,1,1
38,38,1,2,1
39,39,3,3,0
40,40,3,1,1
41,41,1,2,1
42,42,3,3,0
43,43,3,3,0
44,44,3,1,1
45,45,2,1,1
46,46,3,1,1
47,47,1,1,0
48,48,2,2,0
49,49,1,1,0
50,50,3,1,1
51,51,2,1,1
52,52,1,2,1
53,53,2,1,1
54,54,1,3,1
55,55,2,1,1
56,56,1,1,0
57,57,3,1,1
58,58,1,1,0
59,59,2,2,0
60,60,2,1,1
61,61,2,2,0
62,62,2,1,1
63,63,3,1,1
64,64,1,2,1
65,65,3,2,1
66,66,3,3,0
67,67,1,3,1
68,68,3,2,1
69,69,1,1,0
70,70,1,1,0
71,71,2,1,1
72,72,2,1,1
73,73,2,2,0
74,74,1,3,1
75,75,2,3,1
76,76,3,3,0
77,77,2,3,1
78,78,2,1,1
79,79,3,1,1
80,80,3,1,1
81,81,2,1,1
82,82,3,2,1
83,83,3,1,1
84,84,2,1,1
85,85,3,1,1
86,86,3,1,1
87,87,3,2,1
88,88,1,1,0
89,89,1,3,1
90,90,2,3,1
91,91,2,1,1
92,92,1,1,0
93,93,2,1,1
94,94,1,2,1
95,95,1,2,1
96,96,1,3,1
97,97,1,1,0
98,98,1,2,1
99,99,1,2,1
100,100,2,3,1
101,101,1,3,1
102,102,3,1,1
103,103,2,3,1
104,104,3,3,0
105,105,1,3,1
106,106,3,3,0
107,107,3,2,1
108,108,2,3,1
109,109,1,2,1
110,110,2,3,1
111,111,2,2,0
112,112,2,2,0
113,113,2,1,1
114,114,1,3,1
115,115,2,3,1
116,116,1,2,1
117,117,2,3,1
118,118,1,2,1
119,119,1,3,1
120,120,3,3,0
121,121,1,3,1
122,122,3,3,0
123,123,2,3,1
124,124,1,2,1
125,125,1,1,0
126,126,3,1,1
127,127,1,2,1
128,128,2,1,1
129,129,3,2,1
130,130,1,1,0
131,131,2,3,1
132,132,3,3,0
133,133,2,3,1
134,134,2,2,0
135,135,2,3,1
136,136,3,1,1
137,137,3,2,1
138,138,3,1,1
139,139,2,1,1
140,140,1,3,1
141,141,1,3,1
142,142,2,1,1
143,143,3,1,1
144,144,3,1,1
145,145,3,3,0
146,146,3,2,1
147,147,1,2,1
148,148,1,3,1
149,149,2,3,1
150,150,3,1,1
151,151,2,3,1
152,152,1,3,1
